ID,Product,Category,Price
1,Dell XPS 13 Laptop,Laptop,12000000
2,HP Pavilion Gaming Desktop, Desktop,7500000
3,Google Nest Wifi Router, Wifi Router,3000000
4,Sony WH-1000XM4 Wireless Headphones, Headphones,2500000
5,Logitech MX Master 3 Mouse, Computer Mouse,800000
6,MacBook Air, Laptop,15000000
7,Alienware Area-51m Gaming Laptop, Laptop,18000000
8,Lenovo ThinkCentre M90n Mini Desktop, Desktop,9000000
9,ASUS RT-AX86U Wifi Router, Wifi Router,500000
10,Bose QuietComfort Earbuds, Headphones,2000000
11,Razer DeathAdder Elite Gaming Mouse, Computer Mouse,600000
12,Microsoft Surface Laptop 4, Laptop,13000000
13,CyberPowerPC Gamer Xtreme VR Gaming Desktop, Desktop,8500000
14,Netgear Nighthawk AX12 Wifi Router, Wifi Router,3500000
15,Sennheiser HD 660 S Headphones, Headphones,2800000
16,Corsair Dark Core RGB/SE Wired/Wireless Gaming Mouse, Computer Mouse,900000
17,Acer Predator Helios 300 Gaming Laptop, Laptop,14000000
18,Apple Mac mini, Desktop,16000000
19,TP-Link Archer AX6000 Wifi Router, Wifi Router,3200000
20,Jabra Elite 85h Wireless Headphones, Headphones,2600000
21,SteelSeries Rival 600 Gaming Mouse, Computer Mouse,850000
22,Dell Inspiron 14 Laptop, Laptop,12000000
23,HP EliteDesk 800 G6 Mini Desktop, Desktop,13000000
24,Linksys Velop Mesh Wifi System, Wifi Router,11000000
25,Beats Studio3 Wireless Headphones, Headphones,3000000
26,Logitech G Pro X Superlight Gaming Mouse, Computer Mouse,2700000
27,Lenovo Legion Y540 Gaming Laptop, Laptop,1000000
28,Microsoft Surface Studio 2, Desktop,12000000
29,Google Wifi Mesh Router, Wifi Router,9500000
30,Audio-Technica ATH-M50x Headphones, Headphones,17000000
31,ASUS ROG Gladius II Origin Gaming Mouse, Computer Mouse,1200000
32,MSI Prestige 14 Laptop, Laptop,3500000
33,Dell G5 Gaming Desktop, Desktop,1100000
34,Eero Pro 6 Wifi System, Wifi Router,13500000
35,JBL Free X True Wireless Earbuds, Headphones,15000000
36,Corsair Harpoon RGB Wireless Gaming Mouse, Computer Mouse,2800000
37,Acer Aspire 5 Laptop, Laptop,2200000
38,HP Pavilion Desktop, Desktop,800000
39,TP-Link Deco X60 Wifi System, Wifi Router,14000000
40,JBL Quantum 600 Wireless Gaming Headset, Headphones,18000000
41,Logitech G502 HERO Gaming Mouse, Computer Mouse,3000000
42,Apple MacBook Pro, Laptop,750000
43,CyberPowerPC Gamer Xtreme VR Gaming Desktop, Desktop,2000000
44,Netgear Orbi Wifi System, Wifi Router,12000000
45,Sony WH-CH700N Wireless Noise-Canceling Headphones, Headphones,7500000
46,Razer Naga X Gaming Mouse, Computer Mouse,3200000
47,ASUS ZenBook 14 Laptop, Laptop,2500000
48,Dell OptiPlex 7080 Micro Desktop, Desktop,700000
49,Google Nest Wifi Point, Wifi Router,13000000
50,Jabra Elite 75t True Wireless Earbuds, Headphones,500000
